date,type,operator,fatalities,location,country,cat,year,FatalFlag
20-DEC-1934,Douglas DC-2-115A,KLM,7,near Rutbah Wells,Iraq,A1,1934,1
28-DEC-1934,Curtiss T-32C Condor II,American Airways,0,"near Wilmurt, NY",USA,A1,1934,0
??-???-1934,Ford 4-AT-B Tri-Motor,Private,0,"Boca Chica, Tama...",Mexico,O1,1934,0
23-JAN-1935,Curtiss T-32 Condor II,Eastern Air Transport,0,"Atlanta, GA",USA,A1,1935,0
31-JAN-1935,Junkers Ju-52/3mge,Deruluft,11,near Szczecin,Poland,A1,1935,1
06-APR-1935,Fokker F.XII,KLM,7,near Brilon,Germany,A1,1935,1
16-APR-1935,Consolidated 16 Commodore,Pan Am,0,"Miami, FL",USA,O1,1935,0
25-APR-1935,Junkers Ju-52/3mho,Deutsche Lufthansa,3,near Hallgarten,Germany,A1,1935,1
28-APR-1935,Ford 4-AT-B Tri-Motor,Private,0,"Gadsden, AL",USA,A1,1935,0
06-MAY-1935,Douglas DC-2-112,TWA,5,"near Atlanta, MO",USA,A1,1935,1
07-MAY-1935,Ford 4-AT-.  Tri-Motor,private,1,Lake Izabal,Guatemala,A1,1935,1
18-MAY-1935,Tupolev ANT-20 Maxim Gorky,Tupolev,44,Moscow,Russia,A1,1935,1
18-MAY-1935,Ford 4-AT-E Tri-Motor,Knowles Flying Service,3,Flint-Bishop Air...,USA,A1,1935,1
22-JUN-1935,Savoia-Marchetti S-66,Ala Littoria,0,Marsaxlokk Bay,Malta,A1,1935,0
24-JUN-1935,Ford 5-AT-B Tri-Motor,SACO,10,MedellÃ­n-Enriqu...,Colombia,A1,1935,1
24-JUN-1935,Ford 5-AT-D Tri-Motor,SCADTA,7,MedellÃ­n-Enriqu...,Colombia,A1,1935,1
09-JUL-1935,Savoia-Marchetti S-66,Ala Littoria,0,"near MahÃ³n, Menorca",Spain,A1,1935,0
14-JUL-1935,Fokker F.XXII,KLM,6,near Amsterdam-Schiph...,Netherlands,A1,1935,1
17-JUL-1935,Douglas DC-2-115E,KLM,0,Bushehr (Bushire...,Iran,A1,1935,0
20-JUL-1935,Douglas DC-2-115E,KLM,13,Pian San Giacomo,Switzerland,A1,1935,1
22-JUL-1935,Junkers Ju-52/3m,German AF,11,HanskÃ¼hnenburg,Germany,A1,1935,1
27-JUL-1935,Curtiss AT-32B Condor II,American Airways,0,"Murfreesboro, TN",USA,A1,1935,0
03-AUG-1935,Douglas DC-2-112,TWA,0,"near Albuquerque, NM",USA,A1,1935,0
02-OCT-1935,DH.86 Express,Holyman's Airways,5,"near Flinders Island,...",Australia,A1,1935,1
06-OCT-1935,Douglas DC-2A-127,Standard Oil Company,3,"Great Salt Lake, UT",USA,A1,1935,1
21-OCT-1935,Curtiss Condor 18,Chamberlin Flying Service,1,"Troy, NY",USA,A1,1935,1
